Date,Open,High,Low,Close,Adj Close,Volume
02-01-2007,75,75.75,73.599998,74,55.455494,301305
03-01-2007,75,75,73,73.599998,55.155716,172117
04-01-2007,74,82.300003,73,79.650002,59.689579,2186571
05-01-2007,80,80.5,76.550003,77.25,57.891022,624907
08-01-2007,77.099998,81.550003,76.550003,79.650002,59.689579,1113697
09-01-2007,80.75,83.349998,79,79.849998,59.839458,941693
10-01-2007,79,79.900002,76.550003,76.900002,57.628731,341209
11-01-2007,77.75,80,76.699997,79.349998,59.464775,481405
12-01-2007,80,82,78.800003,79.849998,59.839458,506535
15-01-2007,80,82,78.699997,80.550003,60.364037,397756
16-01-2007,81,81.199997,79,79.349998,59.464775,255913
17-01-2007,79.949997,80,78.5,78.849998,59.090061,152373
18-01-2007,79.5,81.400002,78.099998,78.5,58.827766,276879
19-01-2007,79,79.75,76.25,77,57.703686,144585
22-01-2007,78,79.800003,77.199997,77.449997,58.040901,134083
23-01-2007,77.5,78.5,75.550003,76.599998,57.403915,117503
24-01-2007,77,77.800003,75.800003,76.150002,57.066685,86189
25-01-2007,77,80.800003,75.400002,76.449997,57.291508,127614
29-01-2007,77,79,76.5,77.050003,57.741142,282637
31-01-2007,77.25,77.849998,75.050003,75.199997,56.354763,82906
01-02-2007,76,77,74,74.199997,55.605347,89372
02-02-2007,75,75.400002,70,73.449997,55.043308,190983
05-02-2007,74.5,77.650002,72.699997,76.050003,56.991756,374948
06-02-2007,76.849998,78.349998,75.550003,76.050003,56.991756,201033
07-02-2007,76.099998,76.900002,73.099998,74.599998,55.905109,116634
08-02-2007,75,75.400002,73.5,73.849998,55.343067,84203
09-02-2007,74.349998,74.900002,71.599998,72,53.956692,88935
12-02-2007,76.800003,76.800003,69.050003,69.650002,52.195591,119703
13-02-2007,70,71.5,68.550003,69.449997,52.045704,121338
14-02-2007,69,69.900002,67.150002,69.449997,52.045704,88482
15-02-2007,70.900002,71.900002,70.5,71.449997,53.544506,95232
19-02-2007,71,72.699997,71,71.650002,53.694397,82550
20-02-2007,72,72.400002,69.75,70.050003,52.495354,54002
21-02-2007,70,70.400002,69.099998,69.550003,52.120655,68829
22-02-2007,69.400002,70,67.400002,68,50.959087,59510
23-02-2007,68.75,68.900002,65.25,66.099998,49.535229,113122
26-02-2007,66.75,68,66,67.300003,50.434521,70709
27-02-2007,68.349998,71.25,68.349998,68.900002,51.633553,196947
28-02-2007,66,69.25,65,67.949997,50.921619,193564
01-03-2007,68,68.199997,65.800003,66.699997,49.984867,79129
02-03-2007,66.25,66.949997,65,65.300003,48.935715,78952
05-03-2007,64,64.5,60.549999,60.849998,45.600887,102946
06-03-2007,64.300003,64.300003,59.099998,62.150002,46.575111,123516
07-03-2007,64,64,58.549999,59.549999,44.626667,69119
08-03-2007,61,61,57.799999,59.75,44.776554,98296
09-03-2007,61.5,61.5,58.650002,59.099998,44.289444,56044
12-03-2007,60,62,59.25,61.400002,46.013065,73420
13-03-2007,62.450001,63.900002,60.599998,63.5,47.586796,100076
14-03-2007,57.549999,62.5,57.5,61,45.713291,63261
15-03-2007,62,62.900002,61,61.25,45.90065,28088
16-03-2007,61.5,62.799999,59.75,61.650002,46.200409,65555
19-03-2007,62,62.650002,60.5,61,45.713291,31815
20-03-2007,62,62,60.099998,60.549999,45.376076,29576
21-03-2007,61,62.950001,60.049999,60.599998,45.413544,93138
22-03-2007,61,62,60.650002,60.900002,45.638363,36235
23-03-2007,60.25,62,59.700001,60.049999,45.298897,71156
26-03-2007,60,61.400002,59,59.150002,44.619984,63561
28-03-2007,59.299999,59.799999,57.400002,57.700001,43.52618,60275
29-03-2007,59,59.400002,58.099998,58.349998,44.016499,29820
30-03-2007,59.400002,59.75,58.400002,59.200001,44.6577,48164
02-04-2007,59.900002,59.900002,57,57.599998,43.450737,45651
03-04-2007,57.599998,58.349998,56.549999,56.900002,42.922691,66919
04-04-2007,58,60.700001,57.099998,57.599998,43.450737,241017
05-04-2007,58.700001,59.400002,57.299999,57.599998,43.450737,209624
09-04-2007,58.549999,60,58.25,59.099998,44.582268,140449
10-04-2007,60.25,61.5,59.900002,61.25,46.204124,285700
11-04-2007,61.299999,64.5,61.200001,63.599998,47.976852,274606
12-04-2007,62.5,63.900002,62,63.200001,47.675121,118261
13-04-2007,63.900002,64.800003,63.25,64.400002,48.580338,143483
16-04-2007,64.599998,65.699997,64.550003,64.949997,48.995235,86661
17-04-2007,65.25,66,63.099998,63.349998,47.788258,71190
18-04-2007,64.400002,65.5,63.549999,64.400002,48.580338,118437
19-04-2007,63.599998,67.400002,63.099998,65.800003,49.63644,111875
20-04-2007,67.199997,67.25,65.150002,65.5,49.410126,56453
