Date,Open,High,Low,Close,Adj Close,Volume
02-01-2007,43.867943,44.318977,43.849403,44.127441,36.696037,121759
03-01-2007,44.238655,44.980087,43.880299,44.3993,36.922115,96000
04-01-2007,44.609371,44.825623,43.867943,44.232475,36.783386,2579733
05-01-2007,44.485798,44.980087,43.991512,44.39312,36.916973,258578
08-01-2007,44.720585,44.856514,43.521938,43.886478,36.495651,150382
09-01-2007,43.750549,43.966797,43.009117,43.398369,36.089741,214798
10-01-2007,43.398369,43.398369,41.767223,42.199722,35.09296,249312
11-01-2007,41.779579,43.002937,41.779579,42.731083,35.534836,115172
12-01-2007,44.238655,44.238655,42.508652,42.891724,35.668427,227179
15-01-2007,43.497227,43.732014,42.446869,43.274796,35.98698,205653
16-01-2007,43.73819,43.867943,42.78669,43.799976,36.423717,1706329
17-01-2007,43.867943,44.3993,43.620796,43.898834,36.505924,107370
18-01-2007,43.867943,44.213943,40.877506,42.403618,35.262524,87083
19-01-2007,43.373653,43.979156,42.891724,43.145046,35.879089,76392
22-01-2007,43.620796,44.980087,43.620796,44.318977,36.855316,488906
23-01-2007,44.485798,44.485798,42.199722,42.514832,35.355003,121022
24-01-2007,43.985332,43.985332,41.767223,42.020546,34.943954,116402
25-01-2007,41.890793,43.002937,41.890793,42.626045,35.447483,1007205
29-01-2007,43.61462,43.61462,41.396507,41.705437,34.681919,115795
31-01-2007,42.385082,42.446869,41.211151,41.402687,34.430149,75518
01-02-2007,41.421223,42.00201,40.9949,41.038151,34.127003,55449
02-02-2007,42.249153,42.249153,41.149364,41.761044,34.728157,90036
05-02-2007,41.285294,41.581863,40.914577,41.334721,34.373627,1110367
06-02-2007,40.902222,41.64365,40.902222,41.384151,34.414734,117583
07-02-2007,41.396507,41.520081,41.025791,41.421223,34.445568,129139
08-02-2007,41.272938,42.588974,41.272938,41.662186,34.64595,320308
09-02-2007,42.619865,42.619865,41.229687,41.390327,34.419872,192649
12-02-2007,39.234001,42.014366,38.925076,39.351398,32.724312,139117
13-02-2007,39.419361,40.284363,39.295788,39.901291,33.181602,230441
14-02-2007,39.345219,40.778648,38.616146,40.50679,33.685135,145575
15-02-2007,40.531506,42.014366,40.160789,41.415043,34.440422,731122
19-02-2007,42.00201,42.00201,39.913647,40.543861,33.715961,103203
20-02-2007,40.03722,40.03722,39.172218,39.709755,33.02232,230263
21-02-2007,40.03722,43.991512,40.03722,42.403618,35.262524,620959
22-02-2007,40.951649,43.126511,40.160789,42.403618,35.262524,216926
23-02-2007,42.397438,42.397438,40.117542,40.69215,33.839275,365043
26-02-2007,42.014366,44.176868,40.160789,41.069042,34.152695,209813
27-02-2007,40.420292,41.149364,40.272003,40.500614,33.68,165183
28-02-2007,37.689358,40.531506,34.723637,38.974503,32.410889,136770
01-03-2007,40.766293,40.766293,38.801502,39.011574,32.441715,134852
02-03-2007,39.172218,39.808613,37.578144,38.041538,31.635048,93646
05-03-2007,36.824356,38.183643,35.471245,37.571964,31.244555,106812
06-03-2007,38.925076,38.925076,36.206497,38.282501,31.83543,130539
07-03-2007,38.925076,39.790077,38.189823,39.147503,32.554756,211893
08-03-2007,38.925076,38.925076,36.694607,38.517288,32.030674,410013
09-03-2007,40.902222,40.902222,37.707893,38.319572,31.866261,65524
12-03-2007,38.307217,38.857109,38.103325,38.319572,31.866261,71942
13-03-2007,38.677933,39.419361,38.554359,39.147503,32.554756,70833
14-03-2007,38.436966,38.925076,37.207428,38.585251,32.087189,58743
15-03-2007,39.542934,39.542934,37.812927,38.338108,31.881668,85019
16-03-2007,39.172218,39.283432,38.183643,38.480217,31.999842,89575
19-03-2007,37.819107,40.741577,33.778313,40.111362,33.3563,171948
20-03-2007,40.67979,41.520081,39.419361,40.080467,33.330601,118846
21-03-2007,40.655079,40.655079,39.740646,40.432648,33.62347,56954
22-03-2007,40.531506,41.668365,39.666504,41.458294,34.476395,141885
23-03-2007,40.778648,41.149364,40.222576,40.933113,34.03965,106448
26-03-2007,40.778648,41.149364,40.03722,40.346149,33.551544,53248
28-03-2007,40.346149,40.778648,39.561466,40.278183,33.495022,91776
29-03-2007,40.284363,40.902222,40.03722,40.636543,33.793037,234705
30-03-2007,40.778648,42.014366,40.655079,41.606579,34.599712,144669
02-04-2007,39.542934,41.396507,39.542934,40.896042,34.008831,83570
03-04-2007,40.068111,41.767223,40.068111,41.538616,34.54319,91469
04-04-2007,41.334721,42.137939,40.970184,41.958759,34.892574,116337
05-04-2007,40.791004,43.250084,40.655079,42.96587,35.73008,120343
09-04-2007,42.261509,43.867943,42.261509,43.089439,35.83284,218472
10-04-2007,43.126511,43.373653,42.632225,43.206833,35.930466,79168
11-04-2007,42.669296,43.497227,42.669296,43.138866,35.87394,79548
12-04-2007,42.051437,43.219189,42.051437,42.422153,35.277935,125692
13-04-2007,42.026722,43.002937,41.396507,41.693081,34.671646,101163
16-04-2007,41.890793,42.378902,41.520081,42.137939,35.041576,71804
17-04-2007,42.632225,43.478691,41.334721,41.575687,34.574017,201648
18-04-2007,41.767223,42.00201,40.926933,41.242043,34.296562,87892
19-04-2007,40.809544,42.385082,40.778648,40.982544,34.080769,128840
20-04-2007,42.385082,42.385082,40.543861,40.821899,33.94717,945726
23-04-2007,41.334721,41.377972,40.284363,40.420292,33.613201,113456
24-04-2007,40.296719,40.778648,40.03722,40.142254,33.381985,183197
25-04-2007,40.710686,40.710686,39.357574,39.542934,32.883598,4683338
26-04-2007,40.531506,41.328545,39.573826,39.814789,33.109665,592522
27-04-2007,40.327614,40.407932,39.295788,39.425541,32.78598,294889
30-04-2007,39.666504,40.284363,38.925076,39.956898,33.227852,136681
03-05-2007,40.753937,41.64365,40.03722,40.896042,34.008831,569062
04-05-2007,41.353256,41.396507,40.284363,40.451183,33.638893,129633
07-05-2007,40.655079,40.655079,39.68504,39.851864,33.140495,94495
08-05-2007,39.561466,40.03722,39.419361,39.505859,32.85276,89535
09-05-2007,39.55529,39.604717,38.931252,39.159859,32.565029,60434
10-05-2007,39.054825,40.778648,39.054825,40.432648,33.62347,231485
11-05-2007,38.925076,39.993969,38.925076,39.833324,33.125088,53507
14-05-2007,40.03722,40.407932,39.790077,39.932182,33.207294,132902
15-05-2007,40.543861,40.543861,39.542934,40.204041,33.433365,190262
16-05-2007,40.772472,40.772472,39.814789,40.346149,33.551544,83473
17-05-2007,41.272938,41.272938,39.55529,39.969254,33.238125,91266
18-05-2007,39.790077,40.03722,39.530575,39.802433,33.0994,108341
21-05-2007,40.778648,41.025791,39.790077,40.729221,33.870098,295010
22-05-2007,41.019615,41.458294,40.179325,41.359436,34.394184,328093
23-05-2007,41.396507,41.791939,40.803364,41.513901,34.522636,1720750
24-05-2007,40.407932,41.365616,40.407932,40.673615,33.823856,90918
